id,question,expected_course,course_filter,provider,baseline_provider,model,retrieved_courses,top1_course_correct,expected_course_in_top_k,rag_answer,baseline_answer
q01,What is the grading policy for ANT 101?,ANT 101,ANT 101,fallback,fallback,gemini-2.5-flash,ANT 101 | ANT 101 | ANT 101,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: but students are welcome to review them during office hours. Exam rooms or halls will be announced as soon as I know them. Grading and Feedback ANT 101: Being Human: An Introduction to Four Field Anthropology I will try my hardest to provide grades and feedback within 10-12 days of submission. It is your responsibility as a student to keep track of your own grades and attendance throughout the term (they will be available on Moodle, so there is no reason not to!). In the event that you wish to view your exams, discuss your overall grade or progress in the course, or grades received on a specific assignment, please email me to set up a meeting or stop by office hours. I will not discuss or change grades before, during, or after class meetings. ANT 101: Being Human: An Introduction to Four Field Anthropology Official NU Grading Scale: A 95-%100% Excellent, exceeds the highest standards in ",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q02,What are the assessment components for CHEM 101?,CHEM 101,CHEM 101,fallback,fallback,gemini-2.5-flash,CHEM 101 | CHEM 101 | CHEM 101,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: COURSE SPECIFICATION FORM, approved by the Academic Council 17.06.2015 (#39) SECTION A: DEFINITIVE 1. General course information 1.1 School: Science and Technology 1.6 Credits (ECTS): 6 1.2 Course Title: General Chemistry I 1.7 Course Code: CHEM 101 Pre-requisites: none Effective from: 1.3 Anti-requisite: none 1.8 Fall 2018 1.4 Co-requisites: N/A Programs: 1.5 (in which the course Chemistry is Core Elective 2. Course description (max.150 words) CHEM 101 is the first of a two-semester General Chemistry lecture sequence, designed for all science students interested in chemistry-related fields. The course studies fundamentallaws and theories of chemistry and beginswith consideration of chemical fundamentalssuch as atomic theory, mole, stoichiometry and types of chemical reactions. Modernview of atom is considered next followed by concepts in chemicalbonding startingwith localizedbond theory",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q03,What textbook or learning resources are used in MATH 274?,MATH 274,MATH 274,fallback,fallback,gemini-2.5-flash,MATH 274 | MATH 274 | MATH 274,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: SECTION A: DEFINITIVE 1. General course information 1.1 School: SSH 1.6 Credits (ECTS): 6 Course Title: Introduction to Differential Course Code: MATH 274 1.2 1.7 Equations 1.3 Pre-requisites: MATH 162 Effective from: 1.8 1.4 Co-requisites: 1.5 Programs: 2. Course description This is a one-semester course intended for mathematics, engineering, and science students. It covers first order differential equations; mathematical models; linearsystems and matrices; higher-order linear differential equations; linearsystems of differential equations; and Laplacetransform methods. 3. Summative assessment methods: 3.1 Examinations ☒ 3.5 Presentation ☐ 3.2 Termpaper ☐ 3.6 Peer-assessment ☐ 3.3 Project ☐ 3.7 Essay ☐ 3.4 Laboratory Practicum ☐ 3.8 Other (specify) Webwork 4. Course Aims 1. Introduction of fundamental concepts in differential equations; 2. Applications of differential equations; 3. Solv",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q04,What is the attendance policy for WCS 150?,WCS 150,WCS 150,fallback,fallback,gemini-2.5-flash,WCS 150 | WCS 150 | WCS 150,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: 150 are not eligible to receivehelp from the SSHWriting Center for their 150 course assignments; rather, you shouldmeet with your instructorduring officehours or by appointment. You are, however, welcome to visit the Writing Center for assignments and writingprojects not related to WCS 150. Clickhere for moreinformation on Writing Center tutorials and resources. Submission of Assignments Standard Format: ● All assignmentsmust include your name, title of the assignment, and date on a titlepage in APA styleformatting at the beginning of the assignment (NOTE: checkassignment and/or instructor specifications). ● Assignmentsmust be typed, using a standard 12-point font ● Pagemargins should be set to one inch / 2.54 cm on all sides ● Assignmentsmore than one page in lengthmust includepage numbers. ● Assignmentsmust be submitted in MSWord (. doc or . docx) format. Filessubmitted in . pdf, . pag",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q05,Who is the instructor for PLS 140?,PLS 140,PLS 140,fallback,fallback,gemini-2.5-flash,PLS 140 | PLS 140 | PLS 140,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: Introduction to Comparative Politics PLS 140 Spring 2026 Tuesday/Thursday, 15:00-16:15 Green Hall Prof. Caress Schenk Office: 7e.132, Email: cschenk@nu.edu.kz Office Hours: by appointment Graduate Teaching Assistants Alexandr Motin, aleksandr.motin@nu.edu.kz Yize Huang, yize.huang@nu.edu.kz Office hours: Tuesdays 13:30-14:50, 7.527 ***If you are looking for an extraplace in this course, pleaseattend the firstweek of classes. It is likely that you will be able to get a place in the course if you keep checking the registration becausemany students add and drop courses activelyuntil the end of the add/drop period. I will approve up to 5 extraplaceforms only at the end of the firstweek of class and only for thosestudents who haveemailed me to be put on my list, attended each class, and checked in at the end of eachsession for attendance purposes.*** If you have any questions or concernsabout",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q06,What are the course learning outcomes for ROBT 204?,ROBT 204,ROBT 204,fallback,fallback,gemini-2.5-flash,ROBT 204 | ROBT 204 | ROBT 204,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: COURSE SPECIFICATION FORM, approved by the Academic Council 17.06.2015 (#39) SECTION A: DEFINITIVE Items in this section may be reviewed and developed within Schools as part of the Annual Program Monitoring Process and in line with the Guidelines to Modifications to Programs and Courses. 1. General course information 1.1 School: SEDS 1.6 Credits (ECTS): 8 Course Title: Electrical and Electronics Circuits IICourse Code: ROBT204 1.2 1.7 With Laboratory Pre-requisites: Effective from: 2013 1.3 ROBT 203 Electrical and Electronic Circuits I 1.8 with Laboratory 1.4 Co-requisites: Bachelor of Science (B. Sc.) in Robotics and Mechatronics ☒ Core ☐ Elective 1.5 Programs: (in which the course is offered) 2. Course description (max.150 words) ROBT 204 is the secondcourse in the Electrical Engineeringarea of the Robotics and Mechatronics Program curriculum. The 4 creditcourse consists of three 50 mi",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q07,What prerequisites are listed for CSCI 332?,CSCI 332,CSCI 332,fallback,fallback,gemini-2.5-flash,CSCI 332 | CSCI 332 | CSCI 332,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: COURSE SPECIFICATION FORM, approved by the Academic Council 17.06.2015 (#39) SECTION A: DEFINITIVE 1. General course information 1.1 School: SEDS 1.6 Credits (ECTS): 6 1.2 Course Title: Operating Systems 1.7 Course Code: CSCI 332 1.3 Pre-requisites: CSCI 231, D or above Effective from: 1.8 1.4 Co-requisites: none Fall 2018 Computer Science 1.5 ☒ Core ☐ Elective Programs: UG (in which the course is offered) 2. Course description (max.150 words) The course introduces students to Operating Systems, theirconcepts and building blocks. The students will learn to understand, apply, and extendthese conceptsthrough a focus on systems programming in the UNIX environment. They will be introduced to the maincomponents of moderncomputer operating systems: resource allocation, process scheduling, memory management, file systems, management of input and output devices, and synchronization. 3. Summative",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q08,What assignments are required in TUR 100?,TUR 100,TUR 100,fallback,fallback,gemini-2.5-flash,TUR 100 | TUR 100 | TUR 100,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: due date will be the last day of class (April 24) for full credit. I usuallygrade papers 30% for data, 30% for framework, 30% for argument, and 10% for ""pizzazz"" (meaning you can try to impress me with the brilliance of your thought). Grading scale A 95-100 Excellent, exceeds the highest standards in the assignment or course A- 90-94.9 Excellent; meets the highest standards for the assignment or course B+ 85-89.9 Very good; meets high standards for the assignment or course B 80-84.9 Good; meets most of the standards for the assignment or course B- 75-79.9 More than adequate; shows some reasonable command of the material C+ 70-74.9 Acceptable; meets basic standards for the assignment or course C 65-69.9 Acceptable; meets some of the basic standards for the assignment or course C- 60-64.9 Acceptable, while falling short of meeting basic standards in several ways D+ 55-59.9 Minimally accept",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q09,What are the attendance expectations for CSCI 262?,CSCI 262,CSCI 262,fallback,fallback,gemini-2.5-flash,CSCI 262 | CSCI 262 | CSCI 262,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: COURSE SPECIFICATION FORM, approved by the Academic Council 17.06.2015 (#39) SECTION A: DEFINITIVE 1. General course information 1.1 School of Engineering and Digital Sciences 1.6 Credits (ECTS): 6 1.2 Course Title: Software Project Management 1.7 Course Code: CSCI 262 Pre-requisites: CSCI 152 Performance and Data Effective from: 1.3 Structures 1.8 Spring 2026 1.4 Co-requisites: N/A Programs: 1.5 (in which the course Computer Science is Core Elective 2. Course description (max.150 words) In this course, students will learn the fundamentals of softwareproject management methodologies, professional practices, including conceptssuch as the software lifecycle, process models, requirements engineering, alongwithpast and currentissues in the field. A disciplined approach is important given the highlycomplex softwarerequired by business and consumers. Emphasis will be placed on traditional soft",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
q10,What is the course description for ECON 101?,ECON 101,ECON 101,fallback,fallback,gemini-2.5-flash,ECON 101 | ECON 101 | ECON 101,True,True,"API key not configured, so this is an extractive fallback from the retrieved syllabus context: ECON 101-Int Roduction to Mic Roeconomics Spring 2026 Department of Economics Nazarbayev University Instructor: Alejandro Melo Ponce, alejandro.melo@nu.edu.kz Timeandclassroom: TR12:00-13:15, Blue Hall. Office hours: Timesannounced during semester, my office is in 8.510. Book at https://econ101. youcanbook. me/duringavailableslots, pleasesignatleastonedayinadvance. Tutorial Sessions: There will betutorialsessionsheldapproximatelyeveryweek, exceptthefirstone. Thetutorialswill beledbyonemyundergraduatetutors. Course Description: Theobjectiveofthecourseistointroduceyoutoasetofanalyticaltools, i. e. the core principles of microeconomics, needed to understand the functioning of marketeconomies and also to applythose principles to everydaylife and understand economic and social phenomena. At the end of the course, the student is expected to applythesetools in the analysis of dailyeconomic prob",Baseline mode has no retrieval context. Configure GEMINI_API_KEY or OPENAI_API_KEY to generate a true LLM baseline answer.
